Cluster ID	Region	Sample Count	Earliest Date	Latest Date	Clade	Lineage	Inferred Origins	Inferred Origin Confidences	Growth Score	Click to View
Nevada County_node_228027	Nevada County	2	2021-05-19	2021-05-19	21F(Iota)	B.1.526	Pennsylvania	0.409091	0.0565685	https://taxonium.org/?protoUrl=https://storage.googleapis.com/ucsc-gi-cdph-bigtree/cview.pb.gz&search=[{"id":0.123,"category":"cluster","value":"Nevada County_node_228027","enabled":true,"aa_final":"any","min_tips":1,"aa_gene":"S","search_for_ids":""}]&colourBy={"variable":"region","gene":"S","colourLines":false,"residue":"681"}&zoomToSearch=0&blinking=false
Nevada County_node_92843	Nevada County	3	2021-04-07	2021-05-10	20B	B.1.1.318	Sacramento County	0.0536398	0.0558726	https://taxonium.org/?protoUrl=https://storage.googleapis.com/ucsc-gi-cdph-bigtree/cview.pb.gz&search=[{"id":0.123,"category":"cluster","value":"Nevada County_node_92843","enabled":true,"aa_final":"any","min_tips":1,"aa_gene":"S","search_for_ids":""}]&colourBy={"variable":"region","gene":"S","colourLines":false,"residue":"681"}&zoomToSearch=0&blinking=false
Nevada County_node_60009	Nevada County	4	2021-03-02	2021-03-16	20A	B.1.234	Wyoming	0.196721	0.0555556	https://taxonium.org/?protoUrl=https://storage.googleapis.com/ucsc-gi-cdph-bigtree/cview.pb.gz&search=[{"id":0.123,"category":"cluster","value":"Nevada County_node_60009","enabled":true,"aa_final":"any","min_tips":1,"aa_gene":"S","search_for_ids":""}]&colourBy={"variable":"region","gene":"S","colourLines":false,"residue":"681"}&zoomToSearch=0&blinking=false
Nevada County_node_104403	Nevada County	3	2021-04-01	2021-04-16	20I(Alpha,V1)	B.1.1.7	Solano County	0.25	0.0541266	https://taxonium.org/?protoUrl=https://storage.googleapis.com/ucsc-gi-cdph-bigtree/cview.pb.gz&search=[{"id":0.123,"category":"cluster","value":"Nevada County_node_104403","enabled":true,"aa_final":"any","min_tips":1,"aa_gene":"S","search_for_ids":""}]&colourBy={"variable":"region","gene":"S","colourLines":false,"residue":"681"}&zoomToSearch=0&blinking=false
Nevada County_node_103020	Nevada County	3	2021-04-01	2021-04-01	20I(Alpha,V1)	B.1.1.7	San Diego County	0.333333	0.0541266	https://taxonium.org/?protoUrl=https://storage.googleapis.com/ucsc-gi-cdph-bigtree/cview.pb.gz&search=[{"id":0.123,"category":"cluster","value":"Nevada County_node_103020","enabled":true,"aa_final":"any","min_tips":1,"aa_gene":"S","search_for_ids":""}]&colourBy={"variable":"region","gene":"S","colourLines":false,"residue":"681"}&zoomToSearch=0&blinking=false
Nevada County_node_200829	Nevada County	4	2021-02-17	2021-02-22	21C(Epsilon)	B.1.427	Sacramento County	0.3	0.0526316	https://taxonium.org/?protoUrl=https://storage.googleapis.com/ucsc-gi-cdph-bigtree/cview.pb.gz&search=[{"id":0.123,"category":"cluster","value":"Nevada County_node_200829","enabled":true,"aa_final":"any","min_tips":1,"aa_gene":"S","search_for_ids":""}]&colourBy={"variable":"region","gene":"S","colourLines":false,"residue":"681"}&zoomToSearch=0&blinking=false
Nevada County_node_196936	Nevada County	3	2021-03-24	2021-03-30	21C(Epsilon)	B.1.427	San Luis Obispo County	0.24	0.0524864	https://taxonium.org/?protoUrl=https://storage.googleapis.com/ucsc-gi-cdph-bigtree/cview.pb.gz&search=[{"id":0.123,"category":"cluster","value":"Nevada County_node_196936","enabled":true,"aa_final":"any","min_tips":1,"aa_gene":"S","search_for_ids":""}]&colourBy={"variable":"region","gene":"S","colourLines":false,"residue":"681"}&zoomToSearch=0&blinking=false
Nevada County_node_6549	Nevada County	2	2021-05-07	2021-05-07	21A(Delta)	AY.14	New Jersey	0.325711	0.0523783	https://taxonium.org/?protoUrl=https://storage.googleapis.com/ucsc-gi-cdph-bigtree/cview.pb.gz&search=[{"id":0.123,"category":"cluster","value":"Nevada County_node_6549","enabled":true,"aa_final":"any","min_tips":1,"aa_gene":"S","search_for_ids":""}]&colourBy={"variable":"region","gene":"S","colourLines":false,"residue":"681"}&zoomToSearch=0&blinking=false
Nevada County_node_82601	Nevada County	2	2021-05-04	2021-05-04	20J(Gamma,V3)	P.1	Placer County	0.555556	0.0523783	https://taxonium.org/?protoUrl=https://storage.googleapis.com/ucsc-gi-cdph-bigtree/cview.pb.gz&search=[{"id":0.123,"category":"cluster","value":"Nevada County_node_82601","enabled":true,"aa_final":"any","min_tips":1,"aa_gene":"S","search_for_ids":""}]&colourBy={"variable":"region","gene":"S","colourLines":false,"residue":"681"}&zoomToSearch=0&blinking=false
Nevada County_node_143749	Nevada County	2	2021-05-01	2021-05-01	20I(Alpha,V1)	B.1.1.7	Nevada	0.208	0.0523783	https://taxonium.org/?protoUrl=https://storage.googleapis.com/ucsc-gi-cdph-bigtree/cview.pb.gz&search=[{"id":0.123,"category":"cluster","value":"Nevada County_node_143749","enabled":true,"aa_final":"any","min_tips":1,"aa_gene":"S","search_for_ids":""}]&colourBy={"variable":"region","gene":"S","colourLines":false,"residue":"681"}&zoomToSearch=0&blinking=false
Nevada County_node_125825	Nevada County	2	2021-05-03	2021-05-03	20I(Alpha,V1)	B.1.1.7	Minnesota	0.715789	0.0523783	https://taxonium.org/?protoUrl=https://storage.googleapis.com/ucsc-gi-cdph-bigtree/cview.pb.gz&search=[{"id":0.123,"category":"cluster","value":"Nevada County_node_125825","enabled":true,"aa_final":"any","min_tips":1,"aa_gene":"S","search_for_ids":""}]&colourBy={"variable":"region","gene":"S","colourLines":false,"residue":"681"}&zoomToSearch=0&blinking=false
Nevada County_node_208474	Nevada County	2	2021-05-03	2021-05-03	21C(Epsilon)	B.1.429	Massachusetts	0.48	0.0523783	https://taxonium.org/?protoUrl=https://storage.googleapis.com/ucsc-gi-cdph-bigtree/cview.pb.gz&search=[{"id":0.123,"category":"cluster","value":"Nevada County_node_208474","enabled":true,"aa_final":"any","min_tips":1,"aa_gene":"S","search_for_ids":""}]&colourBy={"variable":"region","gene":"S","colourLines":false,"residue":"681"}&zoomToSearch=0&blinking=false
Nevada County_node_228653	Nevada County	2	2021-04-27	2021-04-27	21F(Iota)	B.1.526	Oregon	0.444444	0.0505076	https://taxonium.org/?protoUrl=https://storage.googleapis.com/ucsc-gi-cdph-bigtree/cview.pb.gz&search=[{"id":0.123,"category":"cluster","value":"Nevada County_node_228653","enabled":true,"aa_final":"any","min_tips":1,"aa_gene":"S","search_for_ids":""}]&colourBy={"variable":"region","gene":"S","colourLines":false,"residue":"681"}&zoomToSearch=0&blinking=false
Nevada County_node_208164	Nevada County	2	2021-04-21	2021-04-23	21C(Epsilon)	B.1.429	Sacramento County	0.316547	0.048766	https://taxonium.org/?protoUrl=https://storage.googleapis.com/ucsc-gi-cdph-bigtree/cview.pb.gz&search=[{"id":0.123,"category":"cluster","value":"Nevada County_node_208164","enabled":true,"aa_final":"any","min_tips":1,"aa_gene":"S","search_for_ids":""}]&colourBy={"variable":"region","gene":"S","colourLines":false,"residue":"681"}&zoomToSearch=0&blinking=false
Nevada County_node_227998	Nevada County	2	2021-04-23	2021-04-23	21F(Iota)	B.1.526	Colorado	0.692737	0.048766	https://taxonium.org/?protoUrl=https://storage.googleapis.com/ucsc-gi-cdph-bigtree/cview.pb.gz&search=[{"id":0.123,"category":"cluster","value":"Nevada County_node_227998","enabled":true,"aa_final":"any","min_tips":1,"aa_gene":"S","search_for_ids":""}]&colourBy={"variable":"region","gene":"S","colourLines":false,"residue":"681"}&zoomToSearch=0&blinking=false
Nevada County_node_112511	Nevada County	2	2021-04-09	2021-04-09	20I(Alpha,V1)	B.1.1.7	El Dorado County	0.181818	0.0456198	https://taxonium.org/?protoUrl=https://storage.googleapis.com/ucsc-gi-cdph-bigtree/cview.pb.gz&search=[{"id":0.123,"category":"cluster","value":"Nevada County_node_112511","enabled":true,"aa_final":"any","min_tips":1,"aa_gene":"S","search_for_ids":""}]&colourBy={"variable":"region","gene":"S","colourLines":false,"residue":"681"}&zoomToSearch=0&blinking=false
Nevada County_node_208035	Nevada County	2	2021-04-07	2021-04-10	21C(Epsilon)	B.1.429	Santa Cruz County	0.545455	0.0456198	https://taxonium.org/?protoUrl=https://storage.googleapis.com/ucsc-gi-cdph-bigtree/cview.pb.gz&search=[{"id":0.123,"category":"cluster","value":"Nevada County_node_208035","enabled":true,"aa_final":"any","min_tips":1,"aa_gene":"S","search_for_ids":""}]&colourBy={"variable":"region","gene":"S","colourLines":false,"residue":"681"}&zoomToSearch=0&blinking=false
Nevada County_node_100454	Nevada County	1	2021-06-10	2021-06-10	20I(Alpha,V1)	Q.3	Butte County	0.6	0.0454545	https://taxonium.org/?protoUrl=https://storage.googleapis.com/ucsc-gi-cdph-bigtree/cview.pb.gz&search=[{"id":0.123,"category":"cluster","value":"Nevada County_node_100454","enabled":true,"aa_final":"any","min_tips":1,"aa_gene":"S","search_for_ids":""}]&colourBy={"variable":"region","gene":"S","colourLines":false,"residue":"681"}&zoomToSearch=0&blinking=false
Nevada County_node_141583	Nevada County	2	2021-04-01	2021-04-01	20I(Alpha,V1)	B.1.1.7	Sacramento County	0.394737	0.0441942	https://taxonium.org/?protoUrl=https://storage.googleapis.com/ucsc-gi-cdph-bigtree/cview.pb.gz&search=[{"id":0.123,"category":"cluster","value":"Nevada County_node_141583","enabled":true,"aa_final":"any","min_tips":1,"aa_gene":"S","search_for_ids":""}]&colourBy={"variable":"region","gene":"S","colourLines":false,"residue":"681"}&zoomToSearch=0&blinking=false
Nevada County_node_200261	Nevada County	2	2021-04-02	2021-04-02	21C(Epsilon)	B.1.427	San Joaquin County	0.5	0.0441942	https://taxonium.org/?protoUrl=https://storage.googleapis.com/ucsc-gi-cdph-bigtree/cview.pb.gz&search=[{"id":0.123,"category":"cluster","value":"Nevada County_node_200261","enabled":true,"aa_final":"any","min_tips":1,"aa_gene":"S","search_for_ids":""}]&colourBy={"variable":"region","gene":"S","colourLines":false,"residue":"681"}&zoomToSearch=0&blinking=false
Nevada County_node_203135	Nevada County	2	2021-04-01	2021-04-01	21C(Epsilon)	B.1.429	Los Angeles County	0.283019	0.0441942	https://taxonium.org/?protoUrl=https://storage.googleapis.com/ucsc-gi-cdph-bigtree/cview.pb.gz&search=[{"id":0.123,"category":"cluster","value":"Nevada County_node_203135","enabled":true,"aa_final":"any","min_tips":1,"aa_gene":"S","search_for_ids":""}]&colourBy={"variable":"region","gene":"S","colourLines":false,"residue":"681"}&zoomToSearch=0&blinking=false
Nevada County_node_102998	Nevada County	2	2021-04-01	2021-04-01	20I(Alpha,V1)	B.1.1.7	Washington	0.292994	0.0441942	https://taxonium.org/?protoUrl=https://storage.googleapis.com/ucsc-gi-cdph-bigtree/cview.pb.gz&search=[{"id":0.123,"category":"cluster","value":"Nevada County_node_102998","enabled":true,"aa_final":"any","min_tips":1,"aa_gene":"S","search_for_ids":""}]&colourBy={"variable":"region","gene":"S","colourLines":false,"residue":"681"}&zoomToSearch=0&blinking=false
Nevada County_node_62749	Nevada County	3	2021-02-03	2021-02-03	20A	B.1.243	Wyoming	0.149254	0.0433013	https://taxonium.org/?protoUrl=https://storage.googleapis.com/ucsc-gi-cdph-bigtree/cview.pb.gz&search=[{"id":0.123,"category":"cluster","value":"Nevada County_node_62749","enabled":true,"aa_final":"any","min_tips":1,"aa_gene":"S","search_for_ids":""}]&colourBy={"variable":"region","gene":"S","colourLines":false,"residue":"681"}&zoomToSearch=0&blinking=false
Nevada County_node_183483	Nevada County	3	2021-02-03	2021-02-03	20G	B.1.2	Utah	0.5	0.0433013	https://taxonium.org/?protoUrl=https://storage.googleapis.com/ucsc-gi-cdph-bigtree/cview.pb.gz&search=[{"id":0.123,"category":"cluster","value":"Nevada County_node_183483","enabled":true,"aa_final":"any","min_tips":1,"aa_gene":"S","search_for_ids":""}]&colourBy={"variable":"region","gene":"S","colourLines":false,"residue":"681"}&zoomToSearch=0&blinking=false
Nevada County_node_196919	Nevada County	2	2021-03-26	2021-03-26	21C(Epsilon)	B.1.427	Tehama County	0.25	0.042855	https://taxonium.org/?protoUrl=https://storage.googleapis.com/ucsc-gi-cdph-bigtree/cview.pb.gz&search=[{"id":0.123,"category":"cluster","value":"Nevada County_node_196919","enabled":true,"aa_final":"any","min_tips":1,"aa_gene":"S","search_for_ids":""}]&colourBy={"variable":"region","gene":"S","colourLines":false,"residue":"681"}&zoomToSearch=0&blinking=false
Nevada County_node_227414	Nevada County	1	2021-05-27	2021-05-27	21F(Iota)	B.1.526	Oregon	0.666667	0.0416667	https://taxonium.org/?protoUrl=https://storage.googleapis.com/ucsc-gi-cdph-bigtree/cview.pb.gz&search=[{"id":0.123,"category":"cluster","value":"Nevada County_node_227414","enabled":true,"aa_final":"any","min_tips":1,"aa_gene":"S","search_for_ids":""}]&colourBy={"variable":"region","gene":"S","colourLines":false,"residue":"681"}&zoomToSearch=0&blinking=false
Nevada County_node_200967	Nevada County	2	2021-03-18	2021-03-18	21C(Epsilon)	B.1	Los Angeles County	0.333333	0.0415945	https://taxonium.org/?protoUrl=https://storage.googleapis.com/ucsc-gi-cdph-bigtree/cview.pb.gz&search=[{"id":0.123,"category":"cluster","value":"Nevada County_node_200967","enabled":true,"aa_final":"any","min_tips":1,"aa_gene":"S","search_for_ids":""}]&colourBy={"variable":"region","gene":"S","colourLines":false,"residue":"681"}&zoomToSearch=0&blinking=false
Nevada County_node_198062	Nevada County	2	2021-03-16	2021-03-16	21C(Epsilon)	B.1.427	Illinois	0.358974	0.0415945	https://taxonium.org/?protoUrl=https://storage.googleapis.com/ucsc-gi-cdph-bigtree/cview.pb.gz&search=[{"id":0.123,"category":"cluster","value":"Nevada County_node_198062","enabled":true,"aa_final":"any","min_tips":1,"aa_gene":"S","search_for_ids":""}]&colourBy={"variable":"region","gene":"S","colourLines":false,"residue":"681"}&zoomToSearch=0&blinking=false
Nevada County_node_146204	Nevada County	3	2021-01-16	2021-01-16	20C	B.1.3	Nevada	0.517241	0.0412393	https://taxonium.org/?protoUrl=https://storage.googleapis.com/ucsc-gi-cdph-bigtree/cview.pb.gz&search=[{"id":0.123,"category":"cluster","value":"Nevada County_node_146204","enabled":true,"aa_final":"any","min_tips":1,"aa_gene":"S","search_for_ids":""}]&colourBy={"variable":"region","gene":"S","colourLines":false,"residue":"681"}&zoomToSearch=0&blinking=false
Nevada County_node_58753	Nevada County	3	2021-01-13	2021-01-13	20A	B.1.234	Sutter County	0.227273	0.0402802	https://taxonium.org/?protoUrl=https://storage.googleapis.com/ucsc-gi-cdph-bigtree/cview.pb.gz&search=[{"id":0.123,"category":"cluster","value":"Nevada County_node_58753","enabled":true,"aa_final":"any","min_tips":1,"aa_gene":"S","search_for_ids":""}]&colourBy={"variable":"region","gene":"S","colourLines":false,"residue":"681"}&zoomToSearch=0&blinking=false
Nevada County_node_202817	Nevada County	2	2021-03-05	2021-03-05	21C(Epsilon)	B.1.429	Arizona	0.580645	0.0392837	https://taxonium.org/?protoUrl=https://storage.googleapis.com/ucsc-gi-cdph-bigtree/cview.pb.gz&search=[{"id":0.123,"category":"cluster","value":"Nevada County_node_202817","enabled":true,"aa_final":"any","min_tips":1,"aa_gene":"S","search_for_ids":""}]&colourBy={"variable":"region","gene":"S","colourLines":false,"residue":"681"}&zoomToSearch=0&blinking=false
Nevada County_node_142892	Nevada County	2	2021-03-03	2021-03-03	20I(Alpha,V1)	B.1.1.7	Los Angeles County	0.235294	0.0392837	https://taxonium.org/?protoUrl=https://storage.googleapis.com/ucsc-gi-cdph-bigtree/cview.pb.gz&search=[{"id":0.123,"category":"cluster","value":"Nevada County_node_142892","enabled":true,"aa_final":"any","min_tips":1,"aa_gene":"S","search_for_ids":""}]&colourBy={"variable":"region","gene":"S","colourLines":false,"residue":"681"}&zoomToSearch=0&blinking=false
Nevada County_node_207318	Nevada County	2	2021-03-05	2021-03-05	21C(Epsilon)	B.1.429	Glenn County	0.438356	0.0392837	https://taxonium.org/?protoUrl=https://storage.googleapis.com/ucsc-gi-cdph-bigtree/cview.pb.gz&search=[{"id":0.123,"category":"cluster","value":"Nevada County_node_207318","enabled":true,"aa_final":"any","min_tips":1,"aa_gene":"S","search_for_ids":""}]&colourBy={"variable":"region","gene":"S","colourLines":false,"residue":"681"}&zoomToSearch=0&blinking=false
Nevada County_node_148748	Nevada County	1	2021-05-12	2021-05-12	20C	B.1.575	Placer County	0.666667	0.0384615	https://taxonium.org/?protoUrl=https://storage.googleapis.com/ucsc-gi-cdph-bigtree/cview.pb.gz&search=[{"id":0.123,"category":"cluster","value":"Nevada County_node_148748","enabled":true,"aa_final":"any","min_tips":1,"aa_gene":"S","search_for_ids":""}]&colourBy={"variable":"region","gene":"S","colourLines":false,"residue":"681"}&zoomToSearch=0&blinking=false
Nevada County_node_133349	Nevada County	1	2021-05-12	2021-05-12	20I(Alpha,V1)	B.1.1.7	New York	0.306802	0.0384615	https://taxonium.org/?protoUrl=https://storage.googleapis.com/ucsc-gi-cdph-bigtree/cview.pb.gz&search=[{"id":0.123,"category":"cluster","value":"Nevada County_node_133349","enabled":true,"aa_final":"any","min_tips":1,"aa_gene":"S","search_for_ids":""}]&colourBy={"variable":"region","gene":"S","colourLines":false,"residue":"681"}&zoomToSearch=0&blinking=false
Nevada County_node_120485	Nevada County	1	2021-05-07	2021-05-07	20I(Alpha,V1)	B.1.1.7	Oregon	0.6	0.037037	https://taxonium.org/?protoUrl=https://storage.googleapis.com/ucsc-gi-cdph-bigtree/cview.pb.gz&search=[{"id":0.123,"category":"cluster","value":"Nevada County_node_120485","enabled":true,"aa_final":"any","min_tips":1,"aa_gene":"S","search_for_ids":""}]&colourBy={"variable":"region","gene":"S","colourLines":false,"residue":"681"}&zoomToSearch=0&blinking=false
Nevada County_node_100854	Nevada County	1	2021-04-24	2021-04-24	20I(Alpha,V1)	Q.3	El Dorado County	0.8	0.0357143	https://taxonium.org/?protoUrl=https://storage.googleapis.com/ucsc-gi-cdph-bigtree/cview.pb.gz&search=[{"id":0.123,"category":"cluster","value":"Nevada County_node_100854","enabled":true,"aa_final":"any","min_tips":1,"aa_gene":"S","search_for_ids":""}]&colourBy={"variable":"region","gene":"S","colourLines":false,"residue":"681"}&zoomToSearch=0&blinking=false
Nevada County_node_209244	Nevada County	1	2021-04-26	2021-04-30	21C(Epsilon)	B.1.429	Nevada	0.26087	0.0357143	https://taxonium.org/?protoUrl=https://storage.googleapis.com/ucsc-gi-cdph-bigtree/cview.pb.gz&search=[{"id":0.123,"category":"cluster","value":"Nevada County_node_209244","enabled":true,"aa_final":"any","min_tips":1,"aa_gene":"S","search_for_ids":""}]&colourBy={"variable":"region","gene":"S","colourLines":false,"residue":"681"}&zoomToSearch=0&blinking=false
Nevada County_node_209250	Nevada County	1	2021-04-30	2021-04-30	21C(Epsilon)	B.1.429	Nevada	0.26087	0.0357143	https://taxonium.org/?protoUrl=https://storage.googleapis.com/ucsc-gi-cdph-bigtree/cview.pb.gz&search=[{"id":0.123,"category":"cluster","value":"Nevada County_node_209250","enabled":true,"aa_final":"any","min_tips":1,"aa_gene":"S","search_for_ids":""}]&colourBy={"variable":"region","gene":"S","colourLines":false,"residue":"681"}&zoomToSearch=0&blinking=false
Nevada County_node_116761	Nevada County	1	2021-04-24	2021-04-24	20I(Alpha,V1)	B.1.1.7	Tennessee	0.636364	0.0357143	https://taxonium.org/?protoUrl=https://storage.googleapis.com/ucsc-gi-cdph-bigtree/cview.pb.gz&search=[{"id":0.123,"category":"cluster","value":"Nevada County_node_116761","enabled":true,"aa_final":"any","min_tips":1,"aa_gene":"S","search_for_ids":""}]&colourBy={"variable":"region","gene":"S","colourLines":false,"residue":"681"}&zoomToSearch=0&blinking=false
Nevada County_node_174845	Nevada County	2	2021-02-02	2021-02-02	20G	B.1.2	Fresno County	0.272727	0.0353553	https://taxonium.org/?protoUrl=https://storage.googleapis.com/ucsc-gi-cdph-bigtree/cview.pb.gz&search=[{"id":0.123,"category":"cluster","value":"Nevada County_node_174845","enabled":true,"aa_final":"any","min_tips":1,"aa_gene":"S","search_for_ids":""}]&colourBy={"variable":"region","gene":"S","colourLines":false,"residue":"681"}&zoomToSearch=0&blinking=false
